
도쿄등심 선릉점	2021.09.15	분위기도 좋고 깔끔하고 마음에 드는 코스요리를 즐길수 있어서 좋았어요	5
도쿄등심 선릉점	2021.09.14	런치코스 맛있습니다. 인테리어, 뷰도 좋아요.	5
도쿄등심 선릉점	2021.09.13	"고기가 살살 녹아요. 다 구워주니 좋고  코스의 다른 음식도 
좋아요 기념일에 갈께요"	5
도쿄등심 선릉점	2021.09.13	"뷰가 너무너무 멋지고 음식도 정갈해서
데이트 하기에 정말 좋더라구요
분위기도 좋고 다음에 또 가려구요^^"	5
도쿄등심 선릉점	2021.09.12	"분위기도 좋고~ 음식도 맛있고~
친절한 서비스도 좋아서 종종 방문하는 곳이에요.
신랑이랑 좋은시간 좋은데이트 되었어요.^^"	5
도쿄등심 선릉점	2021.09.12	분위기 좋고 코스 구성도 괜찮았습니다.	5
도쿄등심 선릉점	2021.09.11	"직원분들은 친절하고 좋았으나 기대를 너무 했는지 음식맛
은 그냥 그랬어요  고기굽기도 미듐레어 말씀드렸는데 너무 
익어서 비싼고기 더 즐기지 못한 것 같아 아쉬워요"	3.5
도쿄등심 선릉점	2021.09.11	분위기 좋고 맛좋고 최고 였어요	5
도쿄등심 선릉점	2021.09.10	너무 맛있게 잘먹었어요 깔끔해요	5
도쿄등심 선릉점	2021.09.09	"분위기 멋지고요. 14층에서 내려다 보는 도심뷰가 환상입니
다. 음식도 먹기 아까울정도로 예쁘고 엄청 맛있습니다. 한우
구이는 살살 녹구요. 콜키지프리매장이라 애주가들 ..."	5
도쿄등심 선릉점	2021.09.08	너무 맛있었고 자리도 좋았어요 담당 직원분도 너무 친절하셔서 잘먹었습니당/)	4.5
도쿄등심 선릉점	2021.09.08	팀 회식할 때 1순위입니다. 모두가 만족하는 집이라서 ㅎㅎ	5
도쿄등심 선릉점	2021.09.07	"선릉 도쿄등심 일단 뷰 맛집❤️ 14층인가? 위치해 있어서 창
가쪽 뷰가 정말 좋아요! 밥 먹을때 분위기가 좋으면 밥이 더 
맛있는거 아시죠? 별로 그런거 신경 안쓰는 무예민 ..."	5
도쿄등심 선릉점	2021.09.07	"일단 뷰가 좋아서 특별한날에도 좋을 맛집이에요 소고기요
리를 코스로 여유있게 즐길수있어서 좋았어요 간도적당하고
맛있는  소고기가 가장 인상적이였어요 다음엔 미리..."	5
도쿄등심 선릉점	2021.09.04	분위기도 넘 좋고 시티뷰가 굿이네여! 고기도 맛있었습니다. 스페셜한 날 가기 딱 좋을 거 같아요:)	5
도쿄등심 선릉점	2021.09.04	콜키지프리 고기도 맛나고 분위기도 좋음	5
도쿄등심 선릉점	2021.09.04	"분위기도 좋고 고기도 맛있어요 
디저트까지 완벽합니다."	5
